most_ads_day,most_ads_hour,test_group,users,conversions,conversion_rate,conversion_rate_pct
Friday,0,ad,807,16,0.01982651796778191,1.982651796778191
Friday,0,psa,34,0,0.0,0.0
Friday,1,ad,662,7,0.010574018126888218,1.0574018126888218
Friday,1,psa,29,0,0.0,0.0
Friday,2,ad,825,10,0.012121212121212121,1.2121212121212122
Friday,2,psa,25,0,0.0,0.0
Friday,3,ad,515,2,0.003883495145631068,0.3883495145631068
Friday,3,psa,27,0,0.0,0.0
Friday,4,ad,118,2,0.01694915254237288,1.694915254237288
Friday,4,psa,4,0,0.0,0.0
Friday,5,ad,129,2,0.015503875968992248,1.550387596899225
Friday,5,psa,6,0,0.0,0.0
Friday,6,ad,330,4,0.012121212121212121,1.2121212121212122
Friday,6,psa,13,0,0.0,0.0
Friday,7,ad,1018,19,0.018664047151277015,1.8664047151277015
Friday,7,psa,54,1,0.018518518518518517,1.8518518518518516
Friday,8,ad,2358,39,0.01653944020356234,1.653944020356234
Friday,8,psa,110,1,0.00909090909090909,0.9090909090909091
Friday,9,ad,4282,86,0.02008407286314806,2.008407286314806
Friday,9,psa,200,2,0.01,1.0
Friday,10,ad,5353,124,0.023164580609004295,2.3164580609004295
Friday,10,psa,223,5,0.02242152466367713,2.242152466367713
Friday,11,ad,6927,124,0.01790096722968096,1.7900967229680957
Friday,11,psa,356,5,0.014044943820224719,1.4044943820224718
Friday,12,ad,6949,136,0.019571161318175278,1.9571161318175279
Friday,12,psa,370,5,0.013513513513513514,1.3513513513513513
Friday,13,ad,7166,166,0.023164945576332682,2.316494557633268
Friday,13,psa,328,3,0.009146341463414634,0.9146341463414633
Friday,14,ad,6622,163,0.024614919963757174,2.4614919963757176
Friday,14,psa,310,1,0.0032258064516129032,0.3225806451612903
Friday,15,ad,6650,176,0.026466165413533835,2.6466165413533838
Friday,15,psa,285,6,0.021052631578947368,2.1052631578947367
Friday,16,ad,5523,153,0.027702335687126562,2.7702335687126562
Friday,16,psa,278,3,0.01079136690647482,1.079136690647482
Friday,17,ad,5027,108,0.021483986473045554,2.1483986473045555
Friday,17,psa,205,5,0.024390243902439025,2.4390243902439024
Friday,18,ad,4839,116,0.023971895019632157,2.397189501963216
Friday,18,psa,203,6,0.029556650246305417,2.955665024630542
Friday,19,ad,4593,95,0.020683649031134337,2.0683649031134337
Friday,19,psa,180,7,0.03888888888888889,3.888888888888889
Friday,20,ad,4465,135,0.030235162374020158,3.0235162374020157
Friday,20,psa,133,2,0.015037593984962405,1.5037593984962405
Friday,21,ad,4933,144,0.029191161564970605,2.9191161564970605
Friday,21,psa,196,7,0.03571428571428571,3.571428571428571
Friday,22,ad,4737,100,0.021110407430863416,2.1110407430863414
Friday,22,psa,135,0,0.0,0.0
Friday,23,ad,3977,68,0.017098315313050037,1.7098315313050036
Friday,23,psa,99,3,0.030303030303030304,3.0303030303030303
Monday,0,ad,820,14,0.01707317073170732,1.707317073170732
Monday,0,psa,42,0,0.0,0.0
Monday,1,ad,531,9,0.01694915254237288,1.694915254237288
Monday,1,psa,35,0,0.0,0.0
Monday,2,ad,709,5,0.007052186177715092,0.7052186177715092
Monday,2,psa,28,0,0.0,0.0
Monday,3,ad,316,4,0.012658227848101266,1.2658227848101267
Monday,3,psa,14,0,0.0,0.0
Monday,4,ad,88,0,0.0,0.0
Monday,4,psa,4,0,0.0,0.0
Monday,5,ad,92,3,0.03260869565217391,3.260869565217391
Monday,5,psa,2,0,0.0,0.0
Monday,6,ad,262,11,0.04198473282442748,4.198473282442748
Monday,6,psa,17,0,0.0,0.0
