exposure_bucket,test_group,users,conversions,conversion_rate,conversion_rate_pct
01-10,ad,249499,813,0.0032585300943089954,0.32585300943089957
01-10,psa,11276,45,0.003990776871230933,0.39907768712309327
101+,ad,22054,3779,0.1713521356669992,17.13521356669992
101+,psa,1010,120,0.1188118811881188,11.881188118811881
11-25,ad,163135,1659,0.010169491525423728,1.0169491525423728
11-25,psa,6112,61,0.009980366492146597,0.9980366492146597
26-50,ad,85740,3037,0.0354210403545603,3.54210403545603
26-50,psa,3273,87,0.026581118240146653,2.6581118240146653
51-100,ad,44149,5135,0.11631067521348162,11.631067521348163
51-100,psa,1853,107,0.05774419859686994,5.774419859686994
