ID,recency,frequency,monetary,r_score,f_score,m_score,segment
5524,58,22,1617,3,5,5,Needs Attention
2174,38,4,27,4,1,1,New / Promising
4141,26,20,776,4,4,4,Champions
6182,26,6,53,4,2,1,New / Promising
5324,94,14,422,1,3,3,Hibernating
7446,16,20,716,5,4,4,Champions
965,34,17,590,4,4,3,Loyal
6177,32,8,169,4,2,2,New / Promising
4855,19,5,46,5,1,1,New / Promising
5899,68,1,49,2,1,1,Hibernating
1994,11,3,19,5,1,1,New / Promising
387,59,5,61,3,1,2,Needs Attention
2125,82,15,1102,1,3,4,Can't Lose Them
8180,53,12,310,3,3,3,Needs Attention
2569,38,4,46,4,1,1,New / Promising
2114,23,25,1315,4,5,5,Champions
9736,51,6,96,3,2,2,Needs Attention
4939,20,11,317,4,3,3,Loyal
6565,91,24,1782,1,5,5,At Risk
2278,86,6,133,1,2,2,Hibernating
9360,41,11,316,3,3,3,Needs Attention
5376,42,28,1730,3,5,5,Needs Attention
1993,63,14,972,2,3,4,Can't Lose Them
4047,0,17,544,5,4,3,Loyal
1409,69,13,444,2,3,3,Hibernating
7892,89,6,75,1,2,2,Hibernating
2404,4,10,257,5,3,3,Loyal
5255,19,27,637,5,5,4,Champions
9422,26,7,131,4,2,2,New / Promising
1966,96,25,1672,1,5,5,At Risk
6864,34,6,30,4,2,1,New / Promising
3033,56,10,318,3,3,3,Needs Attention
5710,31,7,120,4,2,2,New / Promising
7373,8,11,302,5,3,3,Loyal
8755,4,17,1196,5,4,5,Champions
10738,55,5,65,3,1,2,Needs Attention
4339,37,23,913,4,5,4,Champions
10755,76,6,81,2,2,2,Hibernating
8595,99,5,67,1,1,2,Hibernating
2968,53,22,902,3,5,4,Needs Attention
8601,3,19,1395,5,4,5,Champions
503,88,5,53,1,1,1,Hibernating
8430,4,3,22,5,1,1,New / Promising
7281,80,8,186,1,2,2,Hibernating
2139,19,5,31,5,1,1,New / Promising
1371,72,15,984,2,3,4,Can't Lose Them
9909,24,7,122,4,2,2,New / Promising
7286,92,4,55,1,1,1,Hibernating
7244,96,7,124,1,2,2,Hibernating
6566,39,19,1319,4,4,5,Champions
8614,29,16,507,4,4,3,Loyal
4114,2,28,1693,5,5,5,Champions
1331,54,5,72,3,1,2,Needs Attention
2225,54,20,1617,3,4,5,Needs Attention
9381,57,16,606,3,4,3,Needs Attention
6260,55,26,1957,3,5,5,Needs Attention
10383,30,20,1093,4,4,4,Champions
7437,31,5,29,4,1,1,New / Promising
8557,57,5,46,3,1,1,Needs Attention
8375,63,16,518,2,4,3,At Risk
6853,12,20,1438,5,4,5,Champions
3076,18,18,612,5,4,3,Loyal
1012,26,20,884,4,4,4,Champions
6518,8,18,606,5,4,3,Loyal
4137,29,15,1076,4,3,4,Loyal
8082,75,4,34,2,1,1,Hibernating
1386,0,3,11,5,1,1,New / Promising
9369,19,31,1274,5,5,5,Champions
4477,4,17,653,5,4,4,Champions
1357,90,12,1562,1,3,5,Can't Lose Them
1402,1,18,1253,5,4,5,Champions
10629,25,6,109,4,2,2,New / Promising
6312,29,26,863,4,5,4,Champions
8132,88,19,661,1,4,4,At Risk
1050,58,7,65,3,2,2,Needs Attention
5846,68,3,13,2,1,1,Hibernating
1859,34,18,1890,4,4,5,Champions
7503,40,22,2209,3,5,5,Needs Attention
10401,12,3,18,5,1,1,New / Promising
1618,9,19,692,5,4,4,Champions
3332,87,8,165,1,2,2,Hibernating
2261,5,3,16,5,1,1,New / Promising
5346,87,6,79,1,2,2,Hibernating
4119,56,10,318,3,3,3,Needs Attention
535,18,26,778,5,5,4,Champions
5268,95,5,56,1,1,2,Hibernating
273,48,8,151,3,2,2,Needs Attention
4452,3,13,372,5,3,3,Loyal
8504,70,18,1366,2,4,5,At Risk
771,79,9,194,2,2,2,Hibernating
8996,4,17,603,5,4,3,Loyal
9235,45,3,18,3,1,1,Needs Attention
5798,87,14,985,1,3,4,Can't Lose Them
11178,69,4,32,2,1,1,Hibernating
2230,84,7,43,1,2,1,Hibernating
7516,30,5,45,4,1,1,New / Promising
7247,72,17,606,2,4,3,At Risk
11100,37,5,63,4,1,2,New / Promising
4646,44,24,978,3,5,4,Needs Attention
3037,32,14,410,4,3,3,Loyal
1473,0,5,72,5,1,2,New / Promising
1016,43,5,55,3,1,1,Needs Attention
4518,59,25,1169,3,5,4,Needs Attention
9370,68,15,1120,2,3,4,Can't Lose Them
8908,35,19,1097,4,4,4,Champions
8373,94,4,29,1,1,1,Hibernating
7533,15,9,187,5,2,2,New / Promising
2683,56,22,910,3,5,4,Needs Attention
3629,17,7,145,5,2,2,New / Promising
10991,18,13,850,5,3,4,Loyal
5077,46,23,969,3,5,4,Needs Attention
7431,40,16,1820,3,4,5,Needs Attention
3267,27,17,608,4,4,3,Loyal
999,95,24,730,1,5,4,At Risk
9215,19,16,551,5,4,3,Loyal
2286,27,6,114,4,2,2,New / Promising
1592,25,15,1724,4,3,5,Loyal
367,74,15,577,2,3,3,Hibernating
5234,85,5,81,1,1,2,Hibernating
9862,37,5,33,4,1,1,New / Promising
9805,65,18,660,2,4,4,At Risk
6205,13,6,80,5,2,2,New / Promising
8442,63,4,30,2,1,1,Hibernating
7386,83,4,43,1,1,1,Hibernating
7215,69,27,1135,2,5,4,At Risk
1491,87,14,559,1,3,3,Hibernating
11071,37,15,1923,4,3,5,Loyal
3381,51,6,90,3,2,2,Needs Attention
8268,23,14,404,4,3,3,Loyal
11051,72,19,661,2,4,4,At Risk
8026,10,14,463,5,3,3,Loyal
433,42,18,632,3,4,3,Needs Attention
9597,10,18,725,5,4,4,Champions
1295,96,18,725,1,4,4,At Risk
5290,51,11,279,3,3,3,Needs Attention
1685,21,22,1482,4,5,5,Champions
5342,31,4,29,4,1,1,New / Promising
9579,61,6,106,2,2,2,Hibernating
7660,37,4,49,4,1,1,New / Promising
1461,74,5,38,2,1,1,Hibernating
821,46,21,2077,3,5,5,Needs Attention
11084,4,15,1053,5,3,4,Loyal
8690,73,22,1385,2,5,5,At Risk
2937,47,22,871,3,5,4,Needs Attention
9701,13,9,312,5,3,3,Loyal
9949,36,12,877,4,3,4,Loyal
10837,47,5,68,3,1,2,Needs Attention
3120,49,3,22,3,1,1,Needs Attention
5885,94,9,211,1,3,3,Hibernating
4050,65,7,127,2,2,2,Hibernating
3830,59,15,459,2,3,3,Hibernating
7987,96,15,460,1,3,3,Hibernating
7798,28,13,429,4,3,3,Loyal
92,12,7,89,5,2,2,New / Promising
7055,57,24,1021,3,5,4,Needs Attention
10240,10,20,1381,5,4,5,Champions
3025,4,12,306,5,3,3,Loyal
9283,49,3,18,3,1,1,Needs Attention
9970,3,8,162,5,2,2,New / Promising
2730,64,17,1231,2,4,5,At Risk
2795,0,3,13,5,1,1,New / Promising
9260,20,25,1706,4,5,5,Champions
8182,91,7,121,1,2,2,Hibernating
10095,9,19,1293,5,4,5,Champions
8475,98,22,1608,1,5,5,At Risk
4370,83,6,88,1,2,2,Hibernating
10573,27,17,421,4,4,3,Loyal
3712,63,11,259,2,3,3,Hibernating
6637,46,14,1117,3,3,4,Needs Attention
3152,84,6,89,1,2,2,Hibernating
5610,58,4,36,3,1,1,Needs Attention
6460,78,5,57,2,1,2,Hibernating
1349,4,7,148,5,2,2,New / Promising
1880,17,6,93,5,2,2,New / Promising
641,77,6,119,2,2,2,Hibernating
8717,56,27,1835,3,5,5,Needs Attention
10314,79,24,1318,2,5,5,At Risk
10854,90,5,45,1,1,1,Hibernating
10492,96,3,10,1,1,1,Hibernating
6935,44,24,978,3,5,4,Needs Attention
7698,81,9,191,1,3,2,Hibernating
3559,77,6,57,2,2,2,Hibernating
10562,21,23,1033,4,5,4,Champions
10796,16,5,66,5,1,2,New / Promising
2563,80,5,43,1,1,1,Hibernating
3518,45,4,50,3,1,1,Needs Attention
5823,63,5,39,2,1,1,Hibernating
3934,34,16,608,4,4,3,Loyal
6982,14,23,1581,5,5,5,Champions
6431,13,5,68,5,1,2,New / Promising
9733,52,4,80,3,1,2,Needs Attention
5602,98,27,1282,1,5,5,At Risk
7829,99,5,65,1,1,2,Hibernating
1324,93,6,91,1,2,2,Hibernating
326,38,12,315,4,3,3,Loyal
7224,24,4,31,4,1,1,New / Promising
6999,80,22,834,1,5,4,At Risk
9938,82,16,1600,1,4,5,At Risk
6422,20,16,1270,4,4,5,Champions
3182,81,9,263,1,3,3,Hibernating
7300,50,16,535,3,4,3,Needs Attention
10424,60,17,1295,2,4,5,At Risk
8727,63,26,1150,2,5,4,At Risk
2798,54,26,1240,3,5,5,Needs Attention
1030,72,4,38,2,1,1,Hibernating
624,5,3,35,5,1,1,New / Promising
5176,88,4,53,1,1,1,Hibernating
5552,50,11,293,3,3,3,Needs Attention
868,99,5,65,1,1,2,Hibernating
380,17,24,1804,5,5,5,Champions
2677,11,10,241,5,3,3,Loyal
6521,18,19,1101,5,4,4,Champions
6927,70,11,264,2,3,3,Hibernating
2877,21,16,541,4,4,3,Loyal
0,66,16,1198,2,4,5,At Risk
1584,79,14,482,2,3,3,Hibernating
7264,2,3,17,5,1,1,New / Promising
6274,81,24,1615,1,5,5,At Risk
